# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	5794
#@/user_id	32c9a853-ebe4-49e9-ac71-f12fd2996abe
a 	吖	c=2 d=0.00608616 t=5794
fang 	防	c=2 d=0.0122773 t=5794
fang an 	方案	c=4 d=1.2975 t=5794
fang fa 	方法	c=2 d=0.00323121 t=5794
fang mian 	方面	c=1 d=9.70941e-07 t=5794
fang wen 	訪問	c=1 d=0.280832 t=5794
fang xiang 	方向	c=1 d=0.0871609 t=5794
fang zi 	房子	c=1 d=0.000139144 t=5794
fei chang 	非常	c=1 d=6.27047e-10 t=5794
fei hou 	肥厚	c=1 d=1.24714e-10 t=5794
fei ji 	飛機	c=2 d=2.0298e-05 t=5794
fei lv 	費率	c=3 d=1.98325e-07 t=5794
fei xue 	飛雪	c=1 d=3.14405e-06 t=5794
fen 	份	c=2 d=7.27203e-07 t=5794
fen dou 	奮鬥	c=1 d=1.09794e-11 t=5794
fen li 	分離	c=2 d=0.340263 t=5794
fen liang 	份量	c=1 d=2.74038e-07 t=5794
fen qi 	分期	c=4 d=0.00116545 t=5794
fen xian 	分線	c=1 d=4.63328e-09 t=5794
fen xiang 	分享	c=3 d=0.254107 t=5794
fen xin 	分心	c=1 d=3.92853e-09 t=5794
fen yong 	奮勇	c=1 d=0.0154523 t=5794
feng 	鋒	c=2 d=0.00273944 t=5794
feng 	風	c=1 d=3.08179e-06 t=5794
feng le 	瘋了	c=1 d=7.81082e-06 t=5794
feng shuang 	風霜	c=1 d=3.22364e-06 t=5794
feng xian 	風險	c=2 d=1.80088e-07 t=5794
feng xian kong zhi 	風險控制	c=1 d=4.65651e-09 t=5794
feng yun 	風雲	c=4 d=0.000909975 t=5794
fu 	付	c=1 d=0.000127168 t=5794
fu 	父	c=1 d=8.56998e-09 t=5794
fu cha 	複查	c=2 d=0.581677 t=5794
fu dian shu 	浮點數	c=1 d=0.628135 t=5794
fu qian 	付錢	c=1 d=0.000626727 t=5794
fu ren 	夫人	c=1 d=0.000812821 t=5794
gai 	改	c=4 d=2.18702e-06 t=5794
gai 	該	c=1 d=4.6573e-11 t=5794
gai bian 	改變	c=1 d=0.818731 t=5794
gai bu liao 	改不了	c=1 d=0.0071546 t=5794
gai cheng 	改成	c=1 d=1.02371e-11 t=5794
gai hao 	改好	c=1 d=2.30121e-11 t=5794
gai wang 	該忘	c=1 d=1.18878e-05 t=5794
gan bu 	幹部	c=0 d=1.56938e-09 t=5794
gan bu liao 	幹部聊	c=1 d=1.57725e-08 t=5794
gan diao 	幹掉	c=1 d=2.02068e-11 t=5794
gan jin 	趕緊	c=3 d=6.13059e-08 t=5794
gan ma 	幹嘛	c=4 d=0.000118489 t=5794
gan xie 	感謝	c=1 d=6.3019e-10 t=5794
gang 	剛	c=1 d=1.96096e-11 t=5794
gang 	岡	c=1 d=0.657047 t=5794
gang 	港	c=1 d=0.000347412 t=5794
gang ban 	港版	c=1 d=0.0101022 t=5794
gang kan 	剛看	c=1 d=3.45856e-10 t=5794
gang qin shi 	鋼琴師	c=1 d=9.68929e-12 t=5794
